Primary Key,Year,Company Market Cap,ESG Controversies Score,ESG Score,Independent Board Members,Return on Assets - Actual,Return on Equity - Actual,Total Debt Percentage of Total Equity,Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name
NEWAb.ST_2019,2019,266459042.8,100,45.9954617,83.33%,0.0558,0.1128,0.6240755,NEWAb.ST,New Wave Group AB,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
NEWAb.ST_2018,2018,215640957,100,38.49631302,0.00%,0.0601,0.122,0.6073221,NEWAb.ST,New Wave Group AB,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
NEWAb.ST_2017,2017,258330423.7,,,0.00%,0.0489,0.0683,0.698495,NEWAb.ST,New Wave Group AB,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
NEWAb.ST_2016,2016,269101070.2,,,0.00%,,,,NEWAb.ST,New Wave Group AB,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
NKE.N_2025,2025,80302813334,,,76.92%,0.08619,0.23289,0.6028911,NKE.N,Nike Inc,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
NKE.N_2024,2024,1.08E+11,2.272727273,66.73408813,76.92%,0.1596,0.4246,0.6173943,NKE.N,Nike Inc,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
NKE.N_2023,2023,1.49E+11,10.71428571,69.70863602,75.00%,0.1302,0.3463,0.6378892,NKE.N,Nike Inc,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
NKE.N_2022,2022,1.70E+11,17.64705882,73.34667425,75.00%,0.1549,0.43109,0.6171062,NKE.N,Nike Inc,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
NKE.N_2021,2021,2.32E+11,66.66666667,73.22400179,85.71%,0.1658,0.5501,0.7374481,NKE.N,Nike Inc,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
NKE.N_2020,2020,1.83E+11,33.33333333,75.86654183,78.57%,0.0922,0.297,1.1988827,NKE.N,Nike Inc,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
NKE.N_2019,2019,1.41E+11,10,71.851128,76.92%,0.1742,0.4274,0.4262168,NKE.N,Nike Inc,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
NKE.N_2018,2018,1.03E+11,85.71428571,71.59072408,69.23%,0.1731,0.3567,0.4315124,NKE.N,Nike Inc,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
NKE.N_2017,2017,85071133553,100,70.64944203,73.33%,0.19,0.3438,0.3362618,NKE.N,Nike Inc,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
NKE.N_2016,2016,80522904481,70,65.43966475,78.57%,0.1749,0.3012,0.1662588,NKE.N,Nike Inc,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
NKE.N_2015,2015,,75,75.41321535,,,,,NKE.N,Nike Inc,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
NILb.ST_2025,2025,64114616.21,,,83.33%,,0.183,0.2327813,NILb.ST,Nilorngruppen AB,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
NILb.ST_2024,2024,59926024.24,100,41.69402048,60.00%,,0.1254,0.3781672,NILb.ST,Nilorngruppen AB,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
NILb.ST_2023,2023,56392958.7,100,39.09014515,85.71%,,0.3303,0.2869584,NILb.ST,Nilorngruppen AB,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
NILb.ST_2022,2022,78747426.1,100,44.63094286,80.00%,,0.35829,0.2719095,NILb.ST,Nilorngruppen AB,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
NILb.ST_2021,2021,84264447.43,100,36.66344329,75.00%,,0.1625,0.3790715,NILb.ST,Nilorngruppen AB,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
NILb.ST_2020,2020,41757762.77,100,34.04357724,0.00%,0.0777,0.2571,0.6533798,NILb.ST,Nilorngruppen AB,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
NILb.ST_2019,2019,68740339.6,,,0.00%,,0.4226,0.2239015,NILb.ST,Nilorngruppen AB,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
NILb.ST_2018,2018,69368642.02,,,0.00%,0.2163,0.4458,0.2317998,NILb.ST,Nilorngruppen AB,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
NILb.ST_2017,2017,81986191.75,,,0.00%,,0.4478,0.2055141,NILb.ST,Nilorngruppen AB,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
NILb.ST_2016,2016,84790405.5,,,0.00%,,,,NILb.ST,Nilorngruppen AB,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC)
ONON.N_2025,2025,13099050273,,,62.50%,0.1599,0.2573,0.2878287,ONON.N,On Holding Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ONON.N_2024,2024,17131899677,100,34.16340862,0.00%,0.0756,0.11,0.2268032,ONON.N,On Holding Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ONON.N_2023,2023,7774565073,,,0.00%,0.0691,0.065,0.1753481,ONON.N,On Holding Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
ONON.N_2022,2022,5067345930,,,0.00%,-0.2103,-0.3114,0.2131818,ONON.N,On Holding Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear
