Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Region of Headquarters,Year,CAP,CAPln,BOARD,LEV,ESG Controversies Score,ESG Score,Emissions Score,Innovation Score,Environmental Pillar Score,Governance Pillar Score,Human Rights Score,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,Workforce Score,CSR Strategy Score,Community Score
MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Europe,2025,"527,164,374.47",20.08,0.8571,0.4058077,100,42.51312355,39.44,28.8,50.67,36.06,58.33,24.07,36.39,80.56,93.21,44.53,60.67,10.26,8.84
MONC.MI,Moncler SpA,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Europe,2025,"15,125,744,532.08",23.44,0.5833,0.2669073,100,79.69626451,98.45,58.4,82.79,69.45,86.54,56.3,68.67,95.99,98.82,86.87,99.7,91.13,92.99
MONNA.MI,Monnalisa SpA,Textiles & Apparel,Apparel & Accessories,Children's & Infants' Clothing,Europe,2025,"4,838,553.37",15.39,0.5714,1.3921715,100,27.18747626,5.28,58.4,23.7,3.03,31.41,1.97,85.13,2.16,5.12,40.84,19.21,5.24,27.44
MOV.N,Movado Group Inc,Textiles & Apparel,Apparel & Accessories,Watches,Americas,2025,"275,327,002.74",19.43,0.75,0.0006204,100,52.20087541,11.88,80.8,45.59,33.52,67.1,32.62,76.73,34.47,0.42,62.18,29.32,87.69,84.88
NEWAb.ST,New Wave Group AB,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Europe,2025,"991,699,058.26",20.71,0.8,0.3276385,100,47.17456334,13.35,80,46.75,59.45,58.33,78.07,68.67,37.35,14.57,42.2,25.91,33.7,4.57
NILb.ST,Nilorngruppen AB,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Europe,2025,"64,114,616.21",17.98,0.8333,0.2327813,100,41.76655308,72.36,80,76.6,33.37,41.67,29.91,27.53,76.23,13.34,34.84,46.04,80.74,16.77
ONON.N,On Holding AG,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,Europe,2025,"13,099,050,273.30",23.3,0.625,0.2878287,100,34.66212648,23.29,80,40.72,29.17,41.67,21.22,12.97,13.89,69.51,34.52,34.45,8.43,53.35
OXM.N,Oxford Industries Inc,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Americas,2025,"433,213,350.05",19.89,0.9091,0.0499631,100,41.28409463,5.94,80.8,41.06,32.09,70.97,34.63,49.69,26.4,45.01,44.11,14.51,0,39.2
PDJ.BK,Pranda Jewelry PCL,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,"20,082,348.83",16.82,0.3333,0.4382916,100,47.30246235,40.06,0,30.44,32.59,58.33,18.41,36.39,54.01,95.72,60.99,63.72,8.82,95.43
PNDORA.CO,Pandora A/S,Textiles & Apparel,Apparel & Accessories,Jewelry,Europe,2025,"7,487,540,204.53",22.74,0.8571,2.4330065,100,73.22122155,32.61,0,42.58,68.18,86.54,74.22,91.77,92.28,60.16,85.9,71.04,50,99.7
POHK.KL,Poh Kong Holdings Bhd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,"98,467,194.84",18.41,0.3333,0.1953296,100,28.0344689,20.94,0,16.38,46.61,10.97,47.46,11.95,29.5,55.23,23.01,50.93,29.41,14.51
PUMG.DE,Puma SE,Textiles & Apparel,Footwear,Footwear (NEC),Europe,2025,"3,300,576,749.80",21.92,0.75,0.6075797,52.38095238,85.26755292,99.07,80,91.59,81.7,86.54,95.09,93.67,97.84,30,86.42,93.6,92.28,64.94
PVH.N,PVH Corp,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Americas,2025,"2,613,631,849.29",21.68,0.9167,0.4078592,81.48148148,72.89247706,29.5,80,73.51,88.03,86.54,99.6,79.11,98.46,66.34,77.57,55.79,62.67,94.82
RCKY.OQ,Rocky Brands Inc,Textiles & Apparel,Footwear,Footwear Wholesale,Americas,2025,"187,421,647.63",19.05,0.8889,0.5543656,100,35.79629896,25.16,0,13.67,56.37,31.41,50.05,48.1,19.14,98.08,29.96,13.72,25.36,27.44
SABINA.BK,Sabina PCL,Textiles & Apparel,Apparel & Accessories,Lingerie,Asia,2025,"153,490,782.98",18.85,0.3846,0.2001176,100,53.5518813,97.83,28.8,55.57,61.85,37.18,71.9,12.97,52.16,33.27,47.92,79.57,54.51,64.94
SASA.IS,SASA Polyester Sanayi AS,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,"2,414,690,724.82",21.6,0.4167,0.7826986,100,76.43152228,91.61,28.8,59.17,57.33,58.33,65.85,99.68,66.36,35.56,85.79,92.99,47.43,99.09
SFER.MI,Salvatore Ferragamo SpA,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Europe,2025,"1,389,141,700.00",21.05,0.5385,1.2734314,80.95238095,64.0761513,84.78,80,86.24,54.73,86.54,63.39,12.97,93.52,27.17,60.24,75.91,52.82,60.06
SGC.OQ,Superior Group of Companies Inc,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Americas,2025,"129,649,249.69",18.68,0.75,0.4326498,100,42.92772108,12.73,0,11.2,71.48,67.95,70.76,12.97,21.3,86.72,43.77,24.7,52.23,77.74
SUNTK.IS,Sun Tekstil Sanayi Ve Ticaret AS,Textiles & Apparel,Apparel & Accessories,Women's Clothing,Asia,2025,"572,971,247.60",20.17,0.2857,0.2639007,100,81.09063344,99.69,80,87.89,63.59,86.54,62.32,99.05,87.35,60.92,87.78,88.11,73.9,73.48
SUY1V.HE,Suominen Oyj,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Europe,2025,"104,514,797.59",18.46,0.8571,0.8652473,100,55.92146199,53.11,28.8,44.71,53.86,86.54,51.23,36.39,54.63,66.05,59.21,43.6,48.72,71.65
TECE.KL,Techbase Industries Bhd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"5,504,270.12",15.52,0.3333,0.1276706,100,17.43999336,15.31,0,5.75,26.78,19.03,26.23,25.16,4.66,35.5,16.83,8.95,16.43,13.89
TPCS.BK,Tpcs PCL,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,"28,824,510.82",17.18,0.4167,0,100,46.76634898,48.76,28.8,41.29,48.96,47.76,40.12,48.1,48.46,92.8,47.67,47.87,27.45,46.65
UHR.S,Swatch Group AG,Textiles & Apparel,Apparel & Accessories,Watches,Europe,2025,"9,571,532,015.74",22.98,0,0.0010641,38.0952381,61.74139617,97.2,80,90.65,21.67,86.54,22.2,96.84,96.6,3.17,74.04,51.52,46.8,57.01
UPF.BK,Union Pioneer PCL,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,"4,674,025.30",15.36,0.3333,0.0694803,100,41.84364404,36.96,28.8,28.41,44.46,28.21,37.79,59.49,21.91,84.82,44.41,46.65,17.25,45.73
VELD.BR,Van de Velde NV,Textiles & Apparel,Apparel & Accessories,Lingerie,Europe,2025,"386,225,802.20",19.77,0.3571,0.0661019,100,58.2953369,65.53,0,39.42,28.7,86.54,25.83,90.51,60.19,44.17,81.21,73.48,19.83,71.65
WACOAL.BK,Thai Wacoal PCL,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"56,576,028.01",17.85,0.2941,0.0137322,100,46.18139709,64.29,28.8,42.2,35.1,23.72,12.98,59.49,39.81,78.6,52.99,82.01,80.39,45.73
