Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Region of Headquarters,Year,CSR Strategy Score,Community Score,Company Market Cap (EUR),ESG Controversies Score,ESG Score,Emissions Score,Innovation Score,Environmental Pillar Score,Governance Pillar Score,Human Rights Score,Independent Board Members,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,Total Debt Percentage of Total Equity,Workforce Score
INTK.PSX,International Knitwear Ltd,Textiles & Apparel,Apparel & Accessories,Knitwear,Asia,2025,,,,,,,,,,,,,,,,,2.072343,
INTR.PSX,Interloop Ltd,Textiles & Apparel,Apparel & Accessories,Hosiery & Socks,Asia,2025,,,,,,,,,,,,,,,,,1.5864771,
IRIC.NS,Iris Clothings Ltd,Textiles & Apparel,Apparel & Accessories,Children's & Infants' Clothing,Asia,2025,,,,,,,,,,,,,,,,,0.6128774,
IRMC.ISX,Ready Made Clothes Co Sa,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"5,179,210.53",,,,,,,,,,,,,,,
IRSY.NS,Indo Rama Synthetics (India) Ltd,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,,,,,,,,,,,,,,,,,3.0861193,
ISSEN.IS,Isbir Sentetik Dokuma Sanayi AS,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"60,743,289.96",,,,,,,,,,,,,,0.3929028,
ITAN.PSX,ITANZ Technologies Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.1563104,
ITFL.NS,Indian Terrain Fashions Ltd,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Asia,2025,,,,,,,,,,,,,,,,,0.6419976,
IVDN.PK,Innovative Designs Inc,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Americas,2025,,,"6,228,858.02",,,,,,,,,,,,,,0.0723756,
IWAL.PK,iwallet Corp,Textiles & Apparel,Apparel & Accessories,Handbags & Luggage,Americas,2025,,,"1,784,991.11",,,,,,,,,,,,,,,
JADA.PK,Jadeart Group Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Americas,2025,,,,,,,,,,,,,,,,,,
JAGL.PK,Jaag Enterprises Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Americas,2025,,,,,,,,,,,,,,,,,,
JAIH.BO,Jaihind Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.0662557,
JAJP.PA,Groupe JAJ SA,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing,Europe,2025,,,,,,,,,,,,,,,,,0.552311,
JAKH.NS,Jakharia Fabric Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.3619659,
