Primary Key,Year,Company Market Cap,Has Controversy,Has Grave Controversy (<50.0),ESG Controversies Score,ESG Score,Independent Board Members,Return on Equity - Actual,Total Debt Percentage of Total Equity,Identifier (RIC),Company Name,TRBC Industry Name,CAPxLEV,ROExLEV,CAPxROE,ROEsq,BOARDsq,CAPsq,CAPxBOARD
DIOR.PA_2020,2020,82058716774,0,0,100,63.51303951,0.44,0.1906,0.7167175,DIOR.PA,Christian Dior SE,Apparel & Accessories,58812918339,0.136606356,15640391417,0.03632836,0.1936,6.73363E+21,36105835381
DIOR.PA_2019,2019,82455833309,0,0,100,71.67057252,0.44,0.18206,0.3265974,DIOR.PA,Christian Dior SE,Apparel & Accessories,26929860774,0.059460323,15011909012,0.033145844,0.1936,6.79896E+21,36280566656
7762.T_2024,2024,1407753172,1,0,61.36363636,50.44391666,0.4,0.097,0.2785339,7762.T,Citizen Watch Co Ltd,Apparel & Accessories,392106981.2,0.027017788,136552057.7,0.009409,0.16,1.98177E+18,563101268.8
7762.T_2023,2023,1328977819,0,0,100,52.21666363,0.3,0.10198,0.3048351,7762.T,Citizen Watch Co Ltd,Apparel & Accessories,405119086.4,0.031087083,135529158,0.01039992,0.09,1.76618E+18,398693345.7
7762.T_2022,2022,1242507549,0,0,100,54.76737413,0.3,0.1113,0.2817244,7762.T,Citizen Watch Co Ltd,Apparel & Accessories,350044693.7,0.031355926,138291090.2,0.01238769,0.09,1.54383E+18,372752264.7
7762.T_2021,2021,1201608774,0,0,100,51.23406724,0.33,-0.12164,0.3569603,7762.T,Citizen Watch Co Ltd,Apparel & Accessories,428926628.4,-0.043420651,-146163691.3,0.01479629,0.1089,1.44386E+18,396530895.4
7762.T_2020,2020,728592603.9,0,0,100,55.64861501,0.2,-0.07,0.2453085,7762.T,Citizen Watch Co Ltd,Apparel & Accessories,178729958.8,-0.017171595,-51001482.27,0.0049,0.04,5.30847E+17,145718520.8
7762.T_2019,2019,1539659966,0,0,100,50.27722338,0.22,0.052,0.1961674,7762.T,Citizen Watch Co Ltd,Apparel & Accessories,302031092.4,0.010200705,80062318.23,0.002704,0.0484,2.37055E+18,338725192.5
7762.T_2018,2018,1377007290,0,0,100,53.10467454,0.2,0.078,0.1921066,7762.T,Citizen Watch Co Ltd,Apparel & Accessories,264532188.7,0.014984315,107406568.6,0.006084,0.04,1.89615E+18,275401458
7762.T_2017,2017,1960153233,0,0,100,36.90275166,0.33,0.071,0.2196658,7762.T,Citizen Watch Co Ltd,Apparel & Accessories,430578628,0.015596272,139170879.5,0.005041,0.1089,3.8422E+18,646850566.9
7762.T_2016,2016,1822534950,0,0,100,37.95772751,0.25,0.05798,0.2900758,7762.T,Citizen Watch Co Ltd,Apparel & Accessories,528673283.6,0.016818595,105670576.4,0.00336168,0.0625,3.32163E+18,455633737.5
COA.L_2024,2024,1822718439,0,0,100,79.06702585,0.7,0.2089,1.0235833,COA.L,Coats Group PLC,Textiles & Leather Goods,1865704155,0.213826551,380765881.9,0.04363921,0.49,3.3223E+18,1275902907
COA.L_2023,2023,1426427511,0,0,100,78.30243816,0.7,0.1973,1.0332001,COA.L,Coats Group PLC,Textiles & Leather Goods,1473785047,0.20385038,281434147.9,0.03892729,0.49,2.0347E+18,998499257.7
