Primary Key,Year,Company Market Cap,Has Controversy,Has Grave Controversy (<50.0),ESG Controversies Score,ESG Score,Independent Board Members,Return on Equity - Actual,Total Debt Percentage of Total Equity,Identifier (RIC),Company Name,TRBC Industry Name,CAPxLEV,ROExLEV,CAPxROE,ROEsq,BOARDsq,CAPsq,CAPxBOARD,Propensity_Score
HRMS.PA_2020,2020,92858854795,0,0,100,64.98776199,0.35,0.2532,0.1736188,HRMS.PA,Hermes International SCA,Apparel & Accessories,16122042939,0.04396028,23511862034,0.06411024,0.1225,8.62E+21,32500599178,0.248088675
WWW.N_2020,2020,2100011696,0,0,100,31.4610328,0.91,0.22289,1.0256937,WWW.N,Wolverine World Wide Inc,Footwear,2153968767,0.228616869,468071606.9,0.049679952,0.8281,4.41E+18,1911010643,0.233819022
WWW.N_2019,2019,2434206346,0,0,100,36.91896996,0.91,0.2119,0.5753328,WWW.N,Wolverine World Wide Inc,Footwear,1400478753,0.12191302,515808324.7,0.04490161,0.8281,5.93E+18,2215127775,0.23315398
WWW.N_2018,2018,2637071597,0,0,100,33.28944937,0.91,0.1642,0.8193049,WWW.N,Wolverine World Wide Inc,Footwear,2160565681,0.134529865,433007156.2,0.02696164,0.8281,6.95E+18,2399735153,0.230278152
WWW.N_2017,2017,2542761658,0,0,100,33.60910708,0.91,0.1395,0.8425213,WWW.N,Wolverine World Wide Inc,Footwear,2142330858,0.117531721,354715251.3,0.01946025,0.8281,6.47E+18,2313913109,0.227131098
VFC.N_2021,2021,25298597694,0,0,100,65.66775352,0.92,0.16019,1.8720308,VFC.N,VF Corp,Apparel & Accessories,47359754080,0.299880614,4052582365,0.025660836,0.8464,6.40E+20,23274709878,0.221800622
WWW.N_2023,2023,640673397.6,0,0,100,36.91836659,0.8,0.4889,3.4159292,WWW.N,Wolverine World Wide Inc,Footwear,2188494967,1.670047786,313225224.1,0.23902321,0.64,4.10E+17,512538718.1,0.219825145
PNDORA.CO_2021,2021,10966871711,0,0,100,75.91880845,1,0.3074,0.8204087,PNDORA.CO,Pandora A/S,Apparel & Accessories,8997316963,0.252193634,3371216364,0.09449476,1,1.20E+20,10966871711,0.219800234
PNDORA.CO_2024,2024,14481941897,0,0,100,72.93108172,0.88,0.75709,2.0853408,PNDORA.CO,Pandora A/S,Apparel & Accessories,30199784301,1.578790666,10964133391,0.573185268,0.7744,2.10E+20,12744108869,0.213729453
DECK.N_2016,2016,1690452833,0,0,100,51.53984501,0.89,0.1559,0.1034718,DECK.N,Deckers Outdoor Corp,Footwear,174914197.4,0.016131254,263541596.7,0.02430481,0.7921,2.86E+18,1504503021,0.213331216
PNDORA.CO_2022,2022,6269984470,0,0,100,76.80991481,1,0.5782,0.560777,PNDORA.CO,Pandora A/S,Apparel & Accessories,3516063081,0.324241261,3625305021,0.33431524,1,3.93E+19,6269984470,0.211920076
WWW.N_2022,2022,804324950.9,1,0,76.47058824,42.30472178,0.83,0.286,1.5003104,WWW.N,Wolverine World Wide Inc,Footwear,1206737089,0.429088774,230036936,0.081796,0.6889,6.47E+17,667589709.2,0.20715082
DIOR.PA_2020,2020,82058716774,0,0,100,63.51303951,0.44,0.1906,0.7167175,DIOR.PA,Christian Dior SE,Apparel & Accessories,58812918339,0.136606356,15640391417,0.03632836,0.1936,6.73E+21,36105835381,0.199638668
7936.T_2024,2024,14471799622,0,0,100,66.12259519,0.67,0.188,0.6388605,7936.T,Asics Corp,Footwear,9245461142,0.120105774,2720698329,0.035344,0.4489,2.09E+20,9696105747,0.197077304
DECK.N_2018,2018,3248936657,0,0,100,53.15709067,0.8,0.1938,0.0341015,DECK.N,Deckers Outdoor Corp,Footwear,110793613.4,0.006608871,629643924.1,0.03755844,0.64,1.06E+19,2599149326,0.195952905
PNDORA.CO_2017,2017,10211523321,0,0,100,57.94050697,0.8,0.9317,0.4431852,PNDORA.CO,Pandora A/S,Apparel & Accessories,4525596005,0.412915651,9514076278,0.86806489,0.64,1.04E+20,8169218657,0.192703179
WWW.N_2021,2021,2087486639,0,0,100,33.91497502,0.82,0.1115,1.2609075,WWW.N,Wolverine World Wide Inc,Footwear,2632127559,0.140591186,232754760.2,0.01243225,0.6724,4.36E+18,1711739044,0.192655366
VFC.N_2022,2022,10024532497,0,0,100,72.78048014,0.92,0.38039,1.5354756,VFC.N,VF Corp,Apparel & Accessories,15392425051,0.584079563,3813231917,0.144696552,0.8464,1.00E+20,9222569897,0.185549066
SHOO.OQ_2021,2021,3327166424,0,0,100,49.41696177,0.8,0.0646,0.0002379,SHOO.OQ,Steven Madden Ltd,Footwear,791532.8923,1.54E-05,214934951,0.00417316,0.64,1.11E+19,2661733139,0.183310899
DECK.N_2017,2017,2138129385,0,0,100,53.65059174,0.8,0.1286,0.0341953,DECK.N,Deckers Outdoor Corp,Footwear,73113975.76,0.004397516,274963438.9,0.01653796,0.64,4.57E+18,1710503508,0.182997394
PNDORA.CO_2020,2020,9156781233,0,0,100,76.05219793,0.9,0.5061,1.9110307,PNDORA.CO,Pandora A/S,Apparel & Accessories,17498890049,0.967172637,4634246982,0.25613721,0.81,8.38E+19,8241103110,0.181276565
CFR.S_2019,2019,36585880202,0,0,100,67.82647149,0.65,0.0929,0.4143436,CFR.S,Compagnie Financiere Richemont SA,Apparel & Accessories,15159125312,0.03849252,3398828271,0.00863041,0.4225,1.34E+21,23780822131,0.180330311
CFR.S_2020,2020,38591422790,0,0,100,68.2152093,0.65,0.05769,0.5645171,CFR.S,Compagnie Financiere Richemont SA,Apparel & Accessories,21785518078,0.032566991,2226339181,0.003328136,0.4225,1.49E+21,25084424814,0.175204888
CROX.OQ_2017,2017,734078077.4,0,0,100,18.9447521,0.88,-0.1152,0.0059557,CROX.OQ,Crocs Inc,Footwear,4371948.806,-0.000686097,-84565794.52,0.01327104,0.7744,5.39E+17,645988708.1,0.17478746
WWW.N_2024,2024,1716873965,0,0,100,45.72072675,0.77,0.0124,3.0693333,WWW.N,Wolverine World Wide Inc,Footwear,5269658433,0.038059733,21289237.17,0.00015376,0.5929,2.95E+18,1321992953,0.174221748
PUMG.DE_2024,2024,6640611975,1,0,61.36363636,85.84298966,0.71,0.1214,0.6987569,PUMG.DE,Puma SE,Footwear,4640173438,0.084829088,806170293.8,0.01473796,0.5041,4.41E+19,4714834502,0.172545031
LEVI.N_2022,2022,5709854364,0,0,100,62.22802605,0.92,0.4151,0.6163091,LEVI.N,Levi Strauss & Co,Apparel & Accessories,3519035204,0.255829907,2370160546,0.17230801,0.8464,3.26E+19,5253066015,0.171150009
KTB.N_2024,2024,4549034634,0,0,100,52.28555173,0.88,0.7789,2.1078075,KTB.N,Kontoor Brands Inc,Apparel & Accessories,9588489319,1.641771262,3543243076,0.60668521,0.7744,2.07E+19,4003150478,0.168949925
PUMG.DE_2022,2022,8551757088,1,0,76.47058824,82.64016753,0.67,0.1532,0.6170287,PUMG.DE,Puma SE,Footwear,5276679559,0.094528797,1310129186,0.02347024,0.4489,7.31E+19,5729677249,0.168397936
LEVI.N_2023,2023,5955209866,0,0,100,58.55809174,0.92,0.3384,0.5232967,LEVI.N,Levi Strauss & Co,Apparel & Accessories,3116341671,0.177083603,2015243019,0.11451456,0.8464,3.55E+19,5478793077,0.16700319
KTB.N_2023,2023,3177585049,0,0,100,55.49171145,0.88,1.28229,3.1899369,KTB.N,Kontoor Brands Inc,Apparel & Accessories,10136295801,4.090424188,4074585532,1.644267644,0.7744,1.01E+19,2796274843,0.16694936
CROX.OQ_2018,2018,1513208582,0,0,100,29.66547315,0.78,0.0576,0.0037524,CROX.OQ,Crocs Inc,Footwear,5678163.883,0.000216138,87160814.32,0.00331776,0.6084,2.29E+18,1180302694,0.166323831
KTB.N_2020,2020,1899820542,0,0,100,66.9268212,0.86,0.2444,13.2021168,KTB.N,Kontoor Brands Inc,Apparel & Accessories,25081652695,3.226597346,464316140.5,0.05973136,0.7396,3.61E+18,1633845666,0.162558217
LEVI.N_2024,2024,6607100001,1,0,76.47058824,67.36947882,0.92,0.2231,0.4993647,LEVI.N,Levi Strauss & Co,Apparel & Accessories,3299352510,0.111408265,1474044010,0.04977361,0.8464,4.37E+19,6078532001,0.161155855
RL.N_2024,2024,13854362983,1,0,88.63636364,77.41996297,0.79,0.281,0.5778068,RL.N,Ralph Lauren Corp,Apparel & Accessories,8005145141,0.162363711,3893075998,0.078961,0.6241,1.92E+20,10944946757,0.160315586
VFC.N_2023,2023,6624723675,0,0,100,70.86451822,0.92,0.2532,2.2835676,VFC.N,VF Corp,Apparel & Accessories,15128004343,0.578199316,1677380035,0.06411024,0.8464,4.39E+19,6094745781,0.157614796
GIL.TO_2023,2023,5162303811,0,0,100,74.11490246,0.91,0.302,0.5440499,GIL.TO,Gildan Activewear Inc,Apparel & Accessories,2808550872,0.16430307,1559015751,0.091204,0.8281,2.66E+19,4697696468,0.156933295
GIL.TO_2022,2022,4591747956,0,0,100,80.73775244,0.91,0.3094,0.3694384,GIL.TO,Gildan Activewear Inc,Apparel & Accessories,1696368018,0.114304241,1420686818,0.09572836,0.8281,2.11E+19,4178490640,0.154621643
LEVI.N_2021,2021,8802255618,0,0,100,4.788096984,0.92,0.0599,1.2038177,LEVI.N,Levi Strauss & Co,Apparel & Accessories,10596311113,0.07210868,527255111.5,0.00358801,0.8464,7.75E+19,8098075169,0.153262727
GIL.TO_2019,2019,5371729164,0,0,100,85.9171278,0.92,0.1972,0.345545,GIL.TO,Gildan Activewear Inc,Apparel & Accessories,1856174154,0.068141474,1059304991,0.03888784,0.8464,2.89E+19,4941990831,0.152722593
PVH.N_2018,2018,6137958341,0,0,100,73.84563329,0.92,0.1208,0.5564627,PVH.N,PVH Corp,Apparel & Accessories,3415544871,0.067220694,741465367.6,0.01459264,0.8464,3.77E+19,5646921674,0.149706769
BORG.ST_2022,2022,69540000.8,0,0,100,64.22729667,1,0.27519,0.400994,BORG.ST,Bjorn Borg AB,Apparel & Accessories,27885123.08,0.110349539,19136712.82,0.075729536,1,4.83581E+15,69540000.8,0.148808229
PVH.N_2024,2024,5682593204,1,0,61.36363636,79.70198938,0.92,0.13009,0.4256579,PVH.N,PVH Corp,Apparel & Accessories,2418840690,0.055373836,739248549.9,0.016923408,0.8464,3.23E+19,5227985748,0.148530932
